parent_asin,title,brand,subcategory,main_category,price,image_url,review_count,avg_rating,avg_sentiment,positive_pct,total_helpful_votes,quality_score
B0C7GSPG5Q,"FilterLogic DA29-00020B Refrigerator Water Filter, Replacement for Samsung HAF-CIN, HAF-CIN/EXP, DA29-00020A/B, DA97-08006A, RF28HMEDBSR, RF4287HARS, RF263TEAESG, RH22H9010SR, 4 Pack",Filterlogic,Water Filters,Amazon Home,33.99,https://m.media-amazon.com/images/I/81ZEBPjl9EL._AC_SL1500_.jpg,997,4.54,0.4665,78.94,2191,0.8734
B0BWCL9WCH,"PARTY BARGAINS 600 Paper Coffee Filters - White Classic Design Single-Use Coffee Filter Compatible for Keurig 1.0 & 2.0, Perfect Size and Quantity",Party Bargains,Disposable Filters,Amazon Home,28.99,https://m.media-amazon.com/images/I/716-9FknSfL._AC_SL1500_.jpg,2117,4.49,0.4964,80.11,490,0.8731
B01BIDPHYQ,Best GE MWF Refrigerator Water Filter Smartwater Compatible Cartridge,Best,Water Filters,Amazon Home,16.99,https://m.media-amazon.com/images/I/51zOplm5cmL._AC_SL1500_.jpg,5251,4.55,0.4543,78.56,1313,0.8729
B0BVFV4JD7,"AQUA CREST DA29-00020B Replacement for Samsung HAF-CIN/EXP, DA29-00020B-1, RF28HMEDBSR, RF263BEAESR, RF4287HARS, HAF-CIN, DA97-08006A-1, RF28K9380SR, RF28HFEDTSR, Refrigerator Water Filter, 1 Filter",Aqua Crest,Water Filters,Appliances,14.99,https://m.media-amazon.com/images/I/51T+TMGLu+L._AC_SL1500_.jpg,1390,4.53,0.4619,78.71,1045,0.8727
B0BCW97VD9,"Waterdrop Plus DA29-00020B NSF 401&53&42 Certified Refrigerator Water Filter, Replacement for Samsung Water Filter DA29-00020B, HAF-CIN, HDX FMS-2, RF28HMEDBSR, RF263BEAESR, WDP-F27, 2 Filters",Waterdrop,Water Filters,Tools & Home Improvement,30.99,https://m.media-amazon.com/images/I/71BdnBSFbkL._AC_SL1500_.jpg,2100,4.49,0.4928,81.1,1915,0.8727
B00ZYDKI1Y,"ICEPURE UKF8001 Replacement for Whirlpool Filter 4, Everydrop EDR4RXD1, FMM-2 Maytag UKF8001AXX-200 9084 4396395 MPF15090 WF-UKF8001,WF295,SGF-M9,Puriclean II,RWF0900A Refrigerator Water Filter,2PACK",Icepure,Water Filters,Tools & Home Improvement,22.99,https://m.media-amazon.com/images/I/71KK6rAuTsL._AC_SL1080_.jpg,1683,4.52,0.4683,78.43,779,0.8725
B079SNL9H6,"Waterdrop UKF8001 Refrigerator Water Filter 4, Compatible with Whirlpool EDR4RXD1, EveryDrop Filter 4, Maytag UKF8001AXX-750, UKF8001AXX-200, 46-9006, Puriclean II, WD-F07, 3 Filters",Waterdrop,Water Filters,Amazon Home,27.99,https://m.media-amazon.com/images/I/71ueIFYBJ-L._AC_SL1500_.jpg,896,4.69,0.4896,78.68,407,0.8714
B07QV3TH8K,"Update International (EP-33) 33 oz Frothing Pitcher, Stainless Steel",Update International,Milk Frothing Pitchers,Industrial & Scientific,18,https://m.media-amazon.com/images/I/71RNmm5-M0L._AC_SL1500_.jpg,2361,4.47,0.4961,81.15,968,0.8711
B016TZKU54,"DI ORO MaxBrew Keurig Reusable K Cup Coffee Filter – For Keurig 1.0 and 2.0 Coffee Brewers - 24K Gold Small Refillable Coffee Filter - Fits K200, K300/K350/K360, K450/K460, K500/K550/K560 (Purple)",Di Oro Caffè,Reusable Filters,Amazon Home,11.97,https://m.media-amazon.com/images/I/71WmHqb-cmL._AC_SL1500_.jpg,1245,4.37,0.553,82.57,830,0.8703
B00Q4X2FSM,"BetterVent Indoor Dryer Vent Kit, Made in the USA, Protect Indoor Air Quality and Save Energy with a Superior Dryer Lint Filter, Electric Dryers Only",Bettervent,Vents,Appliances,63,https://m.media-amazon.com/images/I/61+D7omCrBL._AC_SL1500_.jpg,2013,4.44,0.5106,81.57,5246,0.8703
B0BSF6FF2M,"Broan-NuTone 24-inch Under-Cabinet Convertible Range Hood with 2-Speed Exhaust Fan and Light, MAX 210 CFM, Stainless Steel",Broan-nutone,Range Hoods,Appliances,,https://m.media-amazon.com/images/I/415JV1xp2nL._AC_SL1000_.jpg,1213,4.39,0.5379,83.43,928,0.87
B0C7DWLPQV,"Pureline MWF Replacement for GE MWF, Smartwater WFC1201, Kenmore 46-9991, Models GE MWF, MWFP, MWFINT, GWF, GWFA, Refrigerator Water Filter - Reduces Bad Taste & Odor",Pureline,Water Filters,Appliances,29.99,https://m.media-amazon.com/images/I/71BXuS1EgxL._AC_SL1500_.jpg,1221,4.43,0.5093,81.49,419,0.8692
B00KJ07SEM,Waterfall Filter - Refrigerator Water Filter Compatible with GE MWF SmartWater Water Filter Cartridge,Waterfall Filter,Water Filters,Appliances,24.99,https://m.media-amazon.com/images/I/712ov0QgkDL._AC_SL1500_.jpg,3260,4.41,0.5179,83.1,1419,0.869
B0C61PCSGR,"Waterdrop XWF NSF Certified Replacement for GE® XWF Refrigerator Water Filter, 2 Filters (Package may vary)",Waterdrop,Water Filters,Amazon Home,23.99,https://m.media-amazon.com/images/I/7164y6hHqCL._AC_SL1500_.jpg,1357,4.43,0.4997,79.51,2090,0.8684
B0C7CKLVXW,"EcoAqua EFF-6007A Replacement Filter, Compatible with Maytag UKF8001, EDR4RXD1, Whirlpool 4396395, Puriclean II, Kenmore 46-9006, Everydrop Filter 4, Viking RWFFR Refrigerator Water Filter, 3 Pack",Ecoaqua,Water Filters,Tools & Home Improvement,27.99,https://m.media-amazon.com/images/I/81GG8jMYlHL._AC_SL1500_.jpg,1501,4.44,0.4907,80.75,1062,0.8678
B0BJPY1F7S,"Pro Mael Disposable Coffee Filters Paper for Keurig Brewers Single Serve 1.0 and 2.0 Use with All Brands Reusable K Cup Pods, White 720 Filters (Pack of 2)",Pro Mael,Disposable Filters,Amazon Home,33.49,https://m.media-amazon.com/images/I/71pFl3BdFQL._AC_SL1200_.jpg,2414,4.49,0.4602,78,840,0.8675
B0C1RSC7V5,"EUHOMY Countertop Ice Maker Machine, 40Lbs/24H Auto Self-Cleaning, 24 Pcs Ice/13 Mins, Portable Compact Ice Maker with Ice Scoop & Basket, Perfect for Home/Kitchen/Office/Bar(Silver)",E Euhomy,Ice Makers,Appliances,199.99,https://m.media-amazon.com/images/I/71fc8qONFuL._SL1200_.jpg,1773,4.38,0.5281,81.78,1739,0.8668
B075M2FJYJ,BlueStars (2023 Update) W10861225 W10714516 Dryer Door Handle Replacement Part Easy to Install - Exact Fit for Whirlpool & Kenmore Dryers - Replaces AP5999398 PS11731583 W10861225VP,Bluestars,Replacement Parts,Tools & Home Improvement,4.99,https://m.media-amazon.com/images/I/615hiPim5yL._AC_SL1500_.jpg,1031,4.5,0.4419,75.46,82,0.8665
B07HPZ9CKM,"Waterdrop ADQ36006101 Replacement for LG® LT700P® Refrigerator Water Filter, Kenmore® 9690, 469690, ADQ36006102, LFXS30766S, RFC1200A, FML-3 and LT120F® Fresh Air Filter, 3 Combo",Waterdrop,Water Filters,Tools & Home Improvement,26.99,https://m.media-amazon.com/images/I/71e7AwJIp3L._AC_SL1500_.jpg,1217,4.48,0.4555,77.16,1183,0.8663
B06XR8WZX6,"Pureline DA29-00020B, Replacement for Samsung DA29-00020B, Kenmore 46-9101, 469101, 9101, 4609101000, Refrigerator Water Filter - Reduces Bad Taste & Odor",Pureline,Water Filters,Tools & Home Improvement,39.99,https://m.media-amazon.com/images/I/714r84flprL._AC_SL1500_.jpg,3572,4.45,0.4732,78.42,1016,0.8657
B07SM1PGJW,"2-Item Bundle: 6-Pack Cafe Save Reusable K Cup Coffee Filters + EZ-Scoop 2 Tbsp Coffee Scoop with Integrated Funnel, Refillable Coffee Pod Capsule For Use with Keurig & Select Single Cup Coffee Maker",Perfect Pod,Reusable Filters,Amazon Home,16.99,https://m.media-amazon.com/images/I/5165jj6ByQL._AC_SL1000_.jpg,3744,4.38,0.5185,80.69,1341,0.8657
B0BVZN62WF,"AQUA CREST DA29-00003G Refrigerator Water Filter, Replacement for Samsung DA29-00003G, DA29-00003B, DA29-00003A, Aqua-Pure Plus, HAFCU1, RFG237AARS, FMS-1, RS22HDHPNSR, RSG257AARS, WSS-1 (1 Pack)",Aqua Crest,Water Filters,Amazon Home,15.59,https://m.media-amazon.com/images/I/61eha5hZQrL._AC_SL1500_.jpg,1038,4.46,0.4656,78.9,1266,0.8656
B004H3XSYG,GE WE1M654 Genuine OEM Timer Knob (White) for GE Dryers,Ge,Replacement Parts,Tools & Home Improvement,13.42,https://m.media-amazon.com/images/I/61oV51D6k1L._AC_SL1500_.jpg,1016,4.51,0.4325,74.9,299,0.8656
